,open,high,low,close,adjclose,volume,ticker
2000-01-01,56.33047103881836,56.46459197998047,41.57725143432617,46.494991302490234,39.299922943115234,20552138.0,A
2000-01-08,49.356224060058594,49.93741226196289,45.82439041137695,48.909156799316406,41.34049606323242,7885558.0,A
2000-01-15,49.087982177734375,52.1280403137207,47.52324676513672,49.17739486694336,41.56722640991211,8652921.0,A
2000-01-22,48.99856948852539,51.36802673339844,47.52324676513672,48.68562316894531,41.15153503417969,6749823.0,A
2000-01-29,48.32796859741211,55.61516571044922,46.316165924072266,54.54220199584961,46.10183334350586,7315035.0,A
2000-02-05,55.570457458496094,58.78934097290039,53.513946533203125,53.91630935668945,45.57278823852539,5445351.0,A
2000-02-12,53.82689666748047,69.38483428955078,53.513946533203125,67.06008911132812,56.68259811401367,9661998.0,A
2000-02-19,68.66952514648438,82.57331848144531,64.377685546875,77.3426284790039,65.3739013671875,8922596.0,A
2000-02-26,77.3426284790039,79.93562316894531,70.27896881103516,77.25321960449219,65.29830932617188,6075428.0,A
2000-03-04,80.82975769042969,115.87982940673828,80.47209930419922,101.57367706298828,85.85523223876953,22352203.0,A
2000-03-11,93.0346908569336,99.38304901123047,80.11444854736328,86.64163208007812,73.23389434814453,13529285.0,A
2000-03-18,86.14985656738281,88.5193099975586,75.6437759399414,85.83690643310547,72.55370330810547,9099304.0,A
2000-03-25,84.54041290283203,87.22281646728516,64.377685546875,74.3919906616211,62.87986755371094,9256858.0,A
2000-04-01,73.67668151855469,89.41344451904297,58.65522384643555,87.26752471923828,73.76293182373047,12010219.0,A
2000-04-08,87.26752471923828,87.26752471923828,57.93991470336914,59.146995544433594,49.99403381347656,15802992.0,A
2000-04-15,57.26931381225586,65.62947082519531,52.26216125488281,64.33297729492188,54.37749481201172,10392871.0,A
2000-04-22,62.32117462158203,68.35658264160156,60.84585189819336,63.394134521484375,53.583927154541016,7858996.0,A
2000-04-29,63.394134521484375,74.48139953613281,63.125892639160156,65.40593719482422,55.2844123840332,10934177.0,A
2000-05-06,65.71888732910156,70.10014343261719,54.184547424316406,64.78004455566406,54.75537872314453,19646093.0,A
2000-05-13,64.377685546875,69.34012603759766,47.299713134765625,47.65736770629883,40.28242111206055,34078906.0,A
2000-05-20,47.92560958862305,49.17739486694336,38.626609802246094,46.494991302490234,39.299922943115234,33627073.0,A
2000-05-27,47.34442138671875,58.65522384643555,47.255008697509766,58.47639465332031,49.42720031738281,30781723.0,A
2000-06-03,57.93991470336914,59.90700912475586,46.85264587402344,50.697425842285156,42.852046966552734,53087652.0,A
2000-06-10,51.94921112060547,51.94921112060547,44.34907150268555,44.796138763427734,37.86397171020508,32289606.0,A
2000-06-17,44.43848419189453,57.179901123046875,44.43848419189453,53.73748016357422,45.42162322998047,38210555.0,A
2000-06-24,53.648067474365234,57.358726501464844,52.68687438964844,52.75393295288086,44.59029006958008,34770637.0,A
2000-07-01,52.932762145996094,53.06687927246094,47.74678039550781,48.283260345458984,40.81147384643555,18789259.0,A
2000-07-08,48.46208953857422,55.972816467285156,47.299713134765625,55.123390197753906,46.593074798583984,26776033.0,A
2000-07-15,54.9892692565918,57.895206451416016,33.082977294921875,34.37947082519531,29.05926513671875,53360402.0,A
2000-07-22,35.765380859375,35.899497985839844,28.254648208618164,29.506437301635742,24.940336227416992,53974823.0,A
2000-07-29,29.372318267822266,30.177038192749023,27.584049224853516,28.65700912475586,24.222354888916016,34477616.0,A
